about,score,timestamp,original_url
*.theconversation.com/au/*,1.0,0x0005f954f6457179,*.theconversation.com/au/*
news.griffith.edu.au/*,1.0,0x0005f95363e56cf1,news.griffith.edu.au/*
*.racgp.org.au/*,1.0,0x0005f95360c83135,racgp.org.au/*
psychologytoday.com/au/*,1.0,0x0005f95357862ed9,psychologytoday.com/au/*
*.hospitalhealth.com.au/*,1.0,0x0005f95351581ddb,hospitalhealth.com.au/*
*.monash.edu/*,1.0,0x0005f953463d2d50,monash.edu/*
*.sydney.edu.au/*,1.0,0x0005f9533a0d6287,sydney.edu.au/*
*.perthnow.com.au/*,1.0,0x0005f8d0ee36a2cd,perthnow.com.au/*
*.watoday.com.au/*,1.0,0x0005f8d0ee2e793e,watoday.com.au/*
*.thewest.com.au/*,1.0,0x0005f8d0ee255c41,thewest.com.au/*
www.crikey.com.au/*,1.0,0x0005f8c75d757860,www.crikey.com.au/*
*.7news.com.au/*,1.0,0x0005f8c75a92a538,7news.com.au/*
*.9news.com.au/*,1.0,0x0005f8c75608d855,9news.com.au/*
*.mamamia.com.au/*,1.0,0x0005f890510b9ae2,mamamia.com.au
www.brisbanetimes.com.au/*,1.0,0x0005f8823a7325b0,https://www.brisbanetimes.com.au
www.smh.com.au/*,1.0,0x0005f8823a62d352,https://www.smh.com.au
www.theguardian.com/au*,1.0,0x0005f8823a5a3c71,https://www.theguardian.com/au
*.junkee.com/*,1.0,0x0005f8823a5258e6,https://junkee.com
www.news.com.au/*,1.0,0x0005f8823a4ab746,https://www.news.com.au
www.skynews.com.au/*,1.0,0x0005f8823a42dc58,https://www.skynews.com.au
www.theage.com.au/*,1.0,0x0005f8823a3b324d,https://www.theage.com.au
www.theaustralian.com.au/*,1.0,0x0005f8823a339f5c,https://www.theaustralian.com.au
www.sbs.com.au/*,1.0,0x0005f8823a2bc200,https://www.sbs.com.au
www.abc.net.au/*,1.0,0x0005f881783f8c17,https://www.abc.net.au/
